# Track profile of the reference race (2263 frames, finishes at the Race Over flag)

     frames  kind slope  posX_start   posX_end       velX    angle
  launch frame   573 @posX  2004.83  -> land frame   579 @posX  2023.08  (6 frames aloft, velX 832)
  launch frame   579 @posX  2027.33  -> land frame   582 @posX  2034.83  (3 frames aloft, velX 832)
  launch frame   582 @posX  2038.08  -> land frame   587 @posX  2053.08  (5 frames aloft, velX 832)
  launch frame   587 @posX  2056.33  -> land frame   590 @posX  2063.83  (3 frames aloft, velX 832)
  launch frame   590 @posX  2067.08  -> land frame   595 @posX  2082.08  (5 frames aloft, velX 832)
  launch frame   595 @posX  2085.33  -> land frame   643 @posX  2257.08  (48 frames aloft, velX 832)
  launch frame   742 @posX  2623.08  -> land frame   743 @posX  2623.08  (1 frames aloft, velX 832)
  launch frame   743 @posX  2626.33  -> land frame   746 @posX  2633.83  (3 frames aloft, velX 832)
  launch frame   746 @posX  2638.08  -> land frame   751 @posX  2652.08  (5 frames aloft, velX 832)
  launch frame   751 @posX  2656.33  -> land frame   757 @posX  2674.58  (6 frames aloft, velX 832)
  launch frame   757 @posX  2677.83  -> land frame   762 @posX  2692.83  (5 frames aloft, velX 832)
  launch frame   762 @posX  2696.08  -> land frame   765 @posX  2703.58  (3 frames aloft, velX 832)
  launch frame   765 @posX  2706.83  -> land frame   771 @posX  2725.08  (6 frames aloft, velX 832)
  launch frame   771 @posX  2729.33  -> land frame   774 @posX  2736.83  (3 frames aloft, velX 832)
  launch frame   774 @posX  2740.08  -> land frame   779 @posX  2755.08  (5 frames aloft, velX 832)
  launch frame   779 @posX  2758.33  -> land frame   782 @posX  2765.83  (3 frames aloft, velX 832)
  launch frame   782 @posX  2769.08  -> land frame   787 @posX  2784.08  (5 frames aloft, velX 832)
  launch frame   787 @posX  2787.33  -> land frame   820 @posX  2904.33  (33 frames aloft, velX 832)
  launch frame   919 @posX  3270.33  -> land frame   922 @posX  3277.83  (3 frames aloft, velX 832)
  launch frame   922 @posX  3281.08  -> land frame   926 @posX  3291.83  (4 frames aloft, velX 832)
  launch frame   926 @posX  3296.08  -> land frame   939 @posX  3340.08  (13 frames aloft, velX 832)
  launch frame   939 @posX  3343.33  -> land frame   943 @posX  3354.08  (4 frames aloft, velX 832)
  launch frame   943 @posX  3358.33  -> land frame   947 @posX  3369.08  (4 frames aloft, velX 832)
  launch frame   947 @posX  3372.33  -> land frame   954 @posX  3394.83  (7 frames aloft, velX 832)
